12/12/24 8:30,
ESCUELA POLITÉCNICA SUPERIOR,200.00%
Doble Grado Ciencia e Ingeniería de Datos - Ingeniería en Tecnologías de Telecomunicación,32.25%
Doble Grado en Ingeniería Informática y Administración de Empresas - Colmenarejo,48.48%
Doble Grado en Ingeniería Informática y Administración de Empresas - Leganés,35.81%
Grado en Ciencia e Ingeniería de Datos,40.78%
Grado en Ciencias,50.00%
Grado en Ingeniería Aeroespacial,49.73%
Grado en Ingeniería Biomédica,39.46%
Grado en Ingeniería de Comunicaciones Móviles y Espaciales,44.37%
Grado en Ingeniería de la Energía,34.04%
Grado en Ingeniería de Sonido e Imagen,35.98%
Grado en Ingeniería Eléctrica,30.40%
Grado en Ingeniería Electrónica Industrial y Automática,39.11%
Grado en Ingeniería en Tecnologías de Telecomunicación,37.65%
Grado en Ingeniería en Tecnologías Industriales,33.17%
Grado en Ingeniería Física,59.28%
Grado en Ingeniería Informática - Leganés,40.37%
Grado en Ingeniería Informática - Colmenarejo,36.39%
Grado en Ingeniería Mecánica,33.63%
Grado en Ingeniería Robótica,46.95%
Grado en Ingeniería Telemática,37.23%
Grado en Matemática Aplicada y Computación,54.01%
